"","iid","gender","match","samerace","race","goal","dec","attr","intel","prob","agediff"
"1",1,0,0,0,4,2,1,6,7,6,6
"2",1,0,0,0,4,2,1,7,7,5,1
"3",1,0,1,1,4,2,1,5,9,NA,1
"4",1,0,1,0,4,2,1,7,8,6,2
"5",1,0,1,0,4,2,1,5,7,6,3
"6",1,0,0,0,4,2,0,4,7,5,4
"7",1,0,0,0,4,2,1,7,7,5,9
"8",1,0,0,0,4,2,0,4,7,7,6
"9",1,0,1,0,4,2,1,7,8,7,7
"10",1,0,0,0,4,2,1,5,6,6,3
"11",2,0,0,1,2,1,0,5,8,4,3
"12",2,0,0,1,2,1,0,8,6,3,2
"13",2,0,0,0,2,1,0,5,9,7,2
"14",2,0,1,1,2,1,1,7,7,8,1
"15",2,0,0,0,2,1,0,6,7,6,0
"16",2,0,0,1,2,1,0,8,8,5,1
"17",2,0,0,1,2,1,1,7,9,7,6
"18",2,0,0,1,2,1,0,5,7,6,3
"19",2,0,1,1,2,1,1,7,8,6,4
"20",2,0,0,1,2,1,1,6,8,7,0
"21",3,0,0,1,2,6,0,7,10,7,2
"22",3,0,0,1,2,6,0,9,9,7,3
"23",3,0,0,0,2,6,0,7,9,7,3
"24",3,0,0,1,2,6,0,9,9,7,2
"25",3,0,0,0,2,6,0,9,10,NA,1
"26",3,0,0,1,2,6,0,8,10,NA,0
"27",3,0,0,1,2,6,0,8,10,7,5
"28",3,0,0,1,2,6,0,7,9,7,2
"29",3,0,0,1,2,6,0,9,9,7,3
"30",3,0,0,1,2,6,0,8,9,7,1
"31",4,0,0,1,2,1,0,4,8,7,4
"32",4,0,0,1,2,1,0,8,8,1,1
"33",4,0,0,0,2,1,0,4,8,1,1
"34",4,0,1,1,2,1,1,8,7,10,0
"35",4,0,0,0,2,1,0,6,8,7,1
"36",4,0,0,1,2,1,0,5,8,3,2
"37",4,0,0,1,2,1,0,7,10,1,7
"38",4,0,0,1,2,1,0,5,9,6,4
"39",4,0,1,1,2,1,1,9,10,8,5
"40",4,0,0,1,2,1,1,8,10,8,1
"41",5,0,0,1,2,2,0,5,8,5,6
"42",5,0,0,1,2,2,0,8,6,4,1
"43",5,0,0,0,2,2,0,4,8,5,1
"44",5,0,1,1,2,2,1,8,5,2,2
"45",5,0,0,0,2,2,0,6,7,4,3
"46",5,0,0,1,2,2,1,5,7,3,4
"47",5,0,0,1,2,2,1,6,8,3,9
"48",5,0,0,1,2,2,1,5,7,4,6
"49",5,0,1,1,2,2,1,7,7,4,7
"50",5,0,0,1,2,2,1,9,7,3,3
"51",6,0,0,0,4,1,1,6,7,6,4
"52",6,0,0,0,4,1,1,6,9,6,1
"53",6,0,0,1,4,1,0,4,9,2,1
"54",6,0,1,0,4,1,1,8,7,4,0
"55",6,0,0,0,4,1,0,5,8,3,1
"56",6,0,0,0,4,1,0,3,6,2,2
"57",6,0,0,0,4,1,1,8,8,7,7
"58",6,0,0,0,4,1,0,4,9,5,4
"59",6,0,1,0,4,1,1,7,8,6,5
"60",6,0,0,0,4,1,1,8,9,8,1
"61",7,0,0,0,4,1,0,4,8,4,5
"62",7,0,0,0,4,1,0,6,8,3,0
"63",7,0,0,1,4,1,0,3,8,8,0
"64",7,0,1,0,4,1,1,7,8,6,1
"65",7,0,0,0,4,1,0,4,7,6,2
"66",7,0,0,0,4,1,0,4,7,5,3
"67",7,0,0,0,4,1,1,7,8,7,8
"68",7,0,0,0,4,1,0,5,8,7,5
"69",7,0,1,0,4,1,1,6,8,6,6
"70",7,0,0,0,4,1,1,8,7,5,2
"71",8,0,0,1,2,1,1,5,7,5,2
"72",8,0,1,1,2,1,1,8,7,7,3
