MoAimportSUM,MoAachieveSUM,IDEA8_exp,IDEA8_negativity,IDEA8_identity,IDEA8_between,IDEA8All,PSS_Family,PSS_Friends,PSS_Special,SWBscale,MindfulnessScale,BelongingScale,EfficacyScale,Exploitiveness,NPItot,Transgressions,Stress,PosDisabilityIdentity,SocMedia_maintain,SocMedia_newconnect,SocMedia_information,RaceDichotomized,EducationDichotomized,president,usdream_1,usdream_2,PhysicalDis,SensoryDis,LearningDis,PsychiatricDis,ChronicHealthDis,OtherDis,OtherDisSpecify,marriage1_1,marriage1_2,marriage1_3,marriage1_4,marriage2,marriage3,marriage4,marriage5,sex,age,sibling,armedservices,yearsservices,income,USresidency,USresidencyyears,EA_Status,Election_date,Political_views,Party_affiliation,President_coded,DisabilityIdentity,RaceCoded,EducationCoded
68,48,2.5,3.5,3.5,2.5,3,6.5,6,5.75,3.666666667,3.733333333,3.4,3.2,2.333333333,7,2.25,,,3.2,2,4,,,Ted cruz,4,3,2,2,2,2,2,2,,45,40,10,5,3,11,2,4,,,,,,,,,0,1,,2,Cruz,2,,
64,40,4,3.5,3.5,3.5,3.625,6.25,6.5,4,5.5,3.933333333,3.2,3.8,2.333333333,3,1.5,2.3,,3.4,3.25,4,,,Bernie Sanders,3,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,0,1,2,2,Sanders,2,,
73,45,3,3.5,3,3.5,3.25,6,3.75,6.5,4.833333333,3,4.1,3,3.666666667,4,,,,3,3,3,,,Neithet,4,3,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,4,neither,,,
72,44,3.5,3,3,3.5,3.25,6,5.25,5,6,5,3.6,3.3,1,2,1.5,2,,3.6,2.75,3,,,,4,4,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,0,1,5,6,,2,,
67,37,3,4,3,3,3.25,5.5,4.25,4.75,3.833333333,4.266666667,3.1,2.8,4,7,,3,42,3,3.25,2,,,Neither one but hillary is a little less stupid than trump,5,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,0,1,3,3,Clinton,2,,
60,36,1.5,3.5,2,3,2.5,4,2.75,2.75,2.166666667,4.2,2.6,3.3,1,5,2.5,3.2,,1.4,3,4.5,,,Jill Stein,1,1,2,2,2,2,2,2,,20,0,50,30,3,14,5,1,,,,,,,,,0,1,1,4,Stein,2,,
29,40,4,4,4,3.5,3.875,4,4.25,4.5,3.833333333,3.2,3.2,3,2.333333333,6,3.25,3,,3.6,3.25,3.5,,,Donald trump,5,3,,,,,,,,25,10,40,25,4,9,2,2,,,,,,,,,0,2,6,6,Trump,2,,
49,30,2.5,4,3.5,3.5,3.375,2.5,5,5.75,2.5,2.6,3.4,2.8,4.666666667,6,,,,2.2,3,3,,,Bernie Sanders,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,Sanders,,,
71,39,4,3,3.5,3.5,3.5,6,6,5.75,4.833333333,4.066666667,3.1,3.5,4,6,3.75,2.4,,2.6,3,2,,,None,4,3,2,2,2,2,2,2,,2,3,5,4,3,13,3,1,,,,,,,,,0,1,,4,neither,2,,
53,54,3.5,3.5,3,4,3.5,3.5,4.25,4,3.833333333,,2.8,3.444444444,3,5,2.75,,,2.6,2.25,3,,,,3,3,2,2,2,2,2,,,100,100,100,50,3,26,3,2,,,,,,,,,0,1,,,,2,,
48,28,3,4,3,3,3.25,3.75,5.25,4.75,2.333333333,2.866666667,3.3,1.2,2.333333333,1,,4,34,1.4,1,2,,,none,4,3,2,1,2,1,2,2,,17,16,37,30,4,12,4,1,2,,,,,,,,0,1,4,,neither,1,,
51,34,3,3,3,3,3,1,1,1,2,6,2.2,1,7,3,1,2.6,,3,3,3,,,Clinton,4,5,2,2,2,2,2,2,,0,0,100,0,2,14,1,1,,,,,,,,,0,1,2,2,Clinton,2,,
57,41,2.5,3,2,2.5,2.5,4.75,5.75,6.75,2.5,4.133333333,2.5,2.8,1,0,1,3.1,46,1.4,2,5,,,Hillary Clinton,1,2,,,1,,,,,,,,,,,,,,,,,,,,,0,1,2,1,Clinton,1,,
60,45,2.5,3.5,3.5,3.5,3.25,5.25,7,6,5.333333333,3.066666667,2.4,3.5,1.333333333,7,,2.7,,3.6,2.5,3,,,Hillary Clinton,4,3,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,Clinton,,,
42,35,3.5,3,4,4,3.625,6.75,5.5,4.5,6,5.6,1.6,2.9,1,3,,2.8,,2.8,2.75,3,,,Hillary Clinton,3,3,2,2,2,2,2,2,,0,0,0,,2,10,3,2,,,,,,,,,0,1,2,2,Clinton,2,,
76,39,3.5,4,3,3.5,3.5,6.25,5.25,7,5.666666667,3.533333333,4,2.7,1.666666667,3,1.25,3.3,,2.8,3.75,3,,,neither,4,4,,,,,,,,30,25,35,10,4,16,2,1,,,,,,,,,0,1,3,3,neither,2,,
58,47,3.5,2.5,4,3.5,3.375,5.5,3.25,5.75,6,3.6,3.3,3.1,4.333333333,1,,,,2.4,2.5,3,,,None,3,5,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,5,neither,,,
39,46,3,4,3,2.5,3.125,3.5,5.5,6.5,3.166666667,3.866666667,3.5,3.2,2,2,,3.8,42,1,1,1.5,,,Gary Johnson,1,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,0,1,2,3,Johnson,2,,
78,38,4,4,4,4,4,7,6.25,7,5.166666667,3.733333333,4.1,3.7,2.666666667,5,,2.8,34,2.8,3,4,,,Hialry Clinton,4,4,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,0,1,1,1,Clinton,2,,
