tosca_01_1,tosca_01_2,tosca_01_3,tosca_01_4,tosca_02_1,tosca_02_2,tosca_02_3,tosca_02_4,tosca_03_1,tosca_03_2,tosca_03_3,tosca_03_4,tosca_04_1,tosca_04_2,tosca_04_3,tosca_04_4,tosca_05_1,tosca_05_2,tosca_05_3,tosca_05_4,tosca_06_1,tosca_06_2,tosca_06_3,tosca_06_4,tosca_07_1,tosca_07_2,tosca_07_3,tosca_07_4,tosca_08_1,tosca_08_2,tosca_08_3,tosca_08_4,tosca_09_1,tosca_09_2,tosca_09_3,tosca_09_4,tosca_10_1,tosca_10_2,tosca_10_3,tosca_10_4,tosca_11_1,tosca_11_2,tosca_11_3,tosca_11_4,gasp_1,gasp_2,gasp_3,gasp_4,gasp_5,gasp_6,gasp_7,gasp_8,gasp_9,gasp_10,gasp_11,gasp_12,gasp_13,gasp_14,gasp_15,gasp_16,bf_3,bf_8,bf_13,bf_18,bf_23,bf_28,bf_33,bf_38,bf_43,bf_48,bf_53,bf_58,sex,gender,age,ethnicity,WC,consc,tos_gu,tos_sh,gu_nbe,gu_rep,sh_nse,sh_wth,gutot,shtot
5,2,5,4,5,4,1,2,5,5,5,2,2,1,2,4,5,1,2,5,1,5,1,5,1,1,4,5,1,5,1,4,2,5,5,1,5,1,5,1,1,5,5,1,5,7,7,3,6,7,2,4,6,6,7,2,7,7,7,7,2,2,5,3,3,3,3,4,5,1,3,4,Female,Female,18,Hispanic or Latino,103,3.666666667,4.727272727,4.636363636,25,27,27,11,52,38
4,2,5,2,4,2,1,2,5,2,3,2,1,1,2,4,4,1,2,5,1,3,2,5,2,1,4,4,1,4,1,5,2,4,4,3,4,1,4,1,1,5,3,2,5,6,6,1,6,7,2,2,5,6,6,2,7,7,7,7,4,2,4,2,2,4,2,4,4,2,4,4,Female,Female,22,Non-Hispanic White or Caucasian,19,3.166666667,4.363636364,3.545454545,24,25,26,7,49,33
5,2,5,3,3,3,4,5,5,5,3,3,3,3,4,2,5,3,5,5,5,3,3,4,1,5,5,5,5,1,1,2,4,5,5,3,5,4,5,1,5,3,2,3,7,7,7,2,6,7,5,2,4,4,7,1,7,5,6,3,1,2,5,5,1,3,4,5,4,2,4,4,Female,Female,19,Non-Hispanic White or Caucasian,25,4.166666667,3.818181818,3.909090909,19,26,25,10,45,35
5,2,4,2,5,5,2,2,3,4,5,3,4,5,3,5,4,1,2,5,3,4,3,4,4,2,5,5,2,4,2,4,4,5,4,3,4,2,5,2,4,5,4,3,3,6,5,5,6,7,4,4,6,5,6,4,5,5,7,5,4,3,3,3,4,3,2,3,4,2,4,3,Female,Female,19,Asian or Asian American,42,3,4.636363636,4.181818182,19,25,22,17,44,39
5,2,4,3,5,3,4,4,5,5,5,4,3,3,3,5,2,4,4,5,4,4,4,5,3,1,4,4,2,4,5,5,5,4,5,4,4,1,4,1,5,5,4,4,4,6,6,4,5,5,3,3,5,5,6,3,6,5,6,5,2,3,5,5,3,2,3,4,4,1,5,4,Female,Female,20,"Hispanic or Latino,Non-Hispanic White or Caucasian",82,3.916666667,4.727272727,3.818181818,19,23,22,13,42,35
5,3,4,2,2,2,1,4,4,3,2,4,2,3,2,4,4,2,4,5,3,3,3,3,4,1,4,3,4,3,2,3,4,3,4,4,5,1,5,3,4,4,3,1,5,5,6,3,5,7,3,2,6,6,6,1,5,2,6,5,2,2,4,5,3,4,4,5,4,1,4,4,Male,Male,21,Asian or Asian American,16,3.833333333,3.636363636,3.363636364,18,22,24,9,40,33
5,1,5,3,5,3,3,1,5,2,5,3,2,5,1,4,4,4,3,3,3,4,2,4,2,2,4,4,1,5,2,5,4,5,5,2,4,4,2,2,4,4,1,2,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,3,3,5,4,2,4,4,5,5,2,5,3,Female,Female,21,Asian or Asian American,22,3.916666667,4.181818182,3.727272727,28,28,28,26,56,54
5,1,5,4,5,1,1,4,3,3,1,1,1,1,1,5,1,1,4,5,1,5,1,5,2,1,5,4,2,5,5,5,3,5,5,1,4,1,5,1,1,5,3,1,1,7,7,1,1,6,3,1,7,6,7,6,7,7,7,7,2,3,5,1,4,2,4,4,5,3,5,3,Female,Female,33,Non-Hispanic White or Caucasian,14,3.583333333,4.636363636,3.363636364,22,22,26,11,44,37
5,1,5,1,4,1,3,4,4,4,5,4,4,1,1,5,1,2,4,4,3,2,4,3,2,2,4,5,2,3,4,4,4,4,2,4,4,1,4,1,3,4,3,3,5,3,6,5,6,4,3,3,6,6,7,3,7,5,6,6,4,3,4,2,4,4,2,4,4,2,4,4,Male,Male,30,Non-Hispanic White or Caucasian,73,2.916666667,4,3,22,22,23,14,44,37
5,2,4,1,5,1,1,1,1,2,2,2,1,3,2,5,3,2,2,5,2,3,3,3,3,2,5,2,4,1,1,4,4,1,4,5,2,2,4,1,5,3,3,1,7,6,7,6,7,6,6,3,6,6,7,1,6,4,3,7,5,5,3,1,4,5,5,5,4,2,5,4,Female,Female,21,Asian or Asian American,8,2.833333333,4,2.181818182,24,23,25,16,47,41
5,2,4,2,4,2,4,4,4,4,3,5,4,3,2,3,NA,NA,NA,NA,4,1,5,4,4,1,5,2,1,5,1,5,1,3,5,5,5,2,5,1,2,4,3,1,7,4,6,3,7,5,5,5,7,6,7,5,6,3,6,4,2,4,5,5,4,4,4,4,5,2,4,2,Male,Male,23,Asian or Asian American,35,3.75,NA,NA,21,24,23,18,45,41
4,2,5,1,4,2,2,2,4,2,2,3,3,3,2,3,2,2,4,5,3,2,4,4,3,2,4,5,3,4,4,4,3,4,4,2,4,2,4,1,4,4,2,5,2,5,6,4,3,5,2,7,4,5,5,3,5,3,5,5,3,4,2,5,4,3,3,4,2,3,4,4,Female,Female,19,Asian or Asian American,47,2.916666667,3.909090909,3.181818182,14,18,21,16,32,37
